uniq_id,product_name,product_category_tree,retail_price,discounted_price,product_rating,brand,discount,shipping,date
8a2d67f4631f6cdd213cd4be4812a006,Handloomhub Polyester Pink Floral Eyelet Door Curtain,"[""Home Furnishing >> Curtains & Accessories >> Curtains""]",799,518,4,Handloomhub,35.17,0,10/01/2021
90453db0386931707b256dfa1e32c404,Handloomhub Polyester Pink Self Design Eyelet Door Curtain,"[""Home Furnishing >> Curtains & Accessories >> Curtains""]",1499,973,1,Handloomhub,35.09,0,10/01/2021
05c657deb0a2be0d21034cfb026f06b7,Handloomhub Polyester Purple Plain Eyelet Door Curtain,"[""Home Furnishing >> Curtains & Accessories >> Curtains""]",1499,973,5,Handloomhub,35.09,0,10/01/2021
eb4174d4ee463898a75d9124dd92705c,Hangrr Premium Single Breasted Solid Men's Suit,"[""Clothing >> Men's Clothing >> Suits & Blazers >> Suits >> Hangrr Suits >> Hangrr Premium Single Breasted Solid Men's Suit""]",15999,7883,2,Hangrr,50.73,0,10/01/2021
78fcb634d9838127464d827234ab05ad,Happiness Is Printed Bone China Mug,"[""Kitchen & Dining >> Coffee Mugs >> Happiness Is Coffee Mugs >> Happiness Is Printed Bone China Mug (300 ml)""]",449,225,1,Happiness Is,49.89,40,10/01/2021
33c68babcf7e7301d343946a3a953f75,Happy walls Extra Large PVC vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Happy walls Wall Decals & Stickers >> Happy walls Extra Large PVC vinyl Sticker (Pack ...""]",1259,239,4,Happy walls,81.02,40,10/01/2021
6ca7812afdc13a59fadf5cfc4a33b1b1,Happy walls Extra Large PVC vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Happy walls Wall Decals & Stickers >> Happy walls Extra Large PVC vinyl Sticker (Pack ...""]",1299,299,4,Happy walls,76.98,40,25/01/2021
6f6b072831cf0d5ac4f70b4783d7914f,Happy walls Extra Large PVC vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Happy walls Wall Decals & Stickers >> Happy walls Extra Large PVC vinyl Sticker (Pack ...""]",1299,299,4,Happy walls,76.98,40,10/02/2021
659df0d8e488691d877b8477f11b5edd,Happy walls Extra Large PVC vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Happy walls Wall Decals & Stickers >> Happy walls Extra Large PVC vinyl Sticker (Pack ...""]",1299,299,4,Happy walls,76.98,40,25/02/2021
70d571a25d37e16d5d5f4e94faccf454,"Hargunz Polyester Brown, White Motif Eyelet Long Door Curtain","[""Home Furnishing >> Curtains & Accessories >> Curtains""]",1099,656,1,Hargunz,40.31,0,10/01/2021
0f608acc8cff25a6cb2f7a837b9ea9e5,"Harini Acrylic, Rubber Necklace","[""Jewellery >> Necklaces & Chains >> Necklaces""]",540,340,4,Harini,37.04,40,10/01/2021
7b574de805659abcfc91827c30381f04,Harini Crystal Yellow Gold Plated Alloy Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",480,330,4,Harini,31.25,40,10/01/2021
1f35ef37ba92288efa0831d3b3ffc0ed,Hariom Enterprises Polypropylene Plastic file cover,"[""Pens & Stationery >> Office Supplies >> Files and Folders >> Hariom Enterprises Files and Folders >> Hariom Enterprises Polypropylene Plastic file co...""]",999,399,5,Hariom Enterprises,60.06,0,10/01/2021
0a88e1bfde330dd56f885e6d767d7ff4,Hariom Enterprises Polypropylene Stick Folders,"[""Pens & Stationery >> Office Supplies >> Files and Folders >> Hariom Enterprises Files and Folders >> Hariom Enterprises Polypropylene Stick Folders (...""]",1599,499,2,Hariom Enterprises,68.79,0,10/01/2021
2a7e9df003434f40455608c9a8847039,Hariom enterprises Stainless Steel Knife,"[""Kitchen & Dining >> Kitchen Tools >> Kitchen Knives >> Hariom enterprises Kitchen Knives >> Hariom enterprises Stainless Steel Knife (Pack o...""]",1499,450,5,Hariom enterprises,69.98,0,10/01/2021
47bfd78809633309c4271cc72117e515,Harissons Ergo 26 L Backpack,"[""Bags, Wallets & Belts >> Bags >> Backpacks >> Harissons Backpacks >> Harissons Ergo 26 L Backpack (Yellow, Grey)""]",1849,1849,5,Harissons,0,0,10/01/2021
a64ed01986b77764abd77b59febd9adc,Harissons Inferno Small 27 L Backpack,"[""Bags, Wallets & Belts >> Bags >> Backpacks >> Harissons Backpacks >> Harissons Inferno Small 27 L Backpack (Red, Grey)""]",1149,1149,2,Harissons,0,0,10/01/2021
3ff6c84d30bf52e7528044fa8a354a1b,Harissons Split 26 L Backpack,"[""Bags, Wallets & Belts >> Bags >> Backpacks >> Harissons Backpacks >> Harissons Split 26 L Backpack (Royal Blue, Light...""]",1099,1099,4,Harissons,0,0,10/01/2021
1f330ed6e8668198329bf0a5cf5e7b64,Harissons Split 26 L Backpack,"[""Bags, Wallets & Belts >> Bags >> Backpacks >> Harissons Backpacks >> Harissons Split 26 L Backpack (Black, Grey)""]",1099,1099,4,Harissons,0,0,25/01/2021
62c9e850334afe6234666d315aa80f8b,Harissons Ultimo 32 L Backpack,"[""Bags, Wallets & Belts >> Bags >> Backpacks >> Harissons Backpacks >> Harissons Ultimo 32 L Backpack (Red, White)""]",1299,1299,3,Harissons,0,0,10/01/2021
485b1f5f95439aaaa5948e2b2dd80653,Harp Funky Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",399,350,1,Harp,12.28,40,10/01/2021
57974991953ac13827f677a2c1f91e1f,Harp Limone Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",650,325,3,Harp,50,40,10/01/2021
471324eee9ed36882798015234ddebe2,Harp Metal Bangle,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",3800,1900,5,Harp,50,0,10/01/2021
a1c7d84902025087b9403df318668219,Harp Metal Cuff,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",900,450,2,Harp,50,0,10/01/2021
dd3de7e4806ead0d5488fdf39e8d3cc5,Harp Metal Cuff,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",750,375,2,Harp,50,0,25/01/2021
a75ac3fcf5261c997251459657508e98,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",800,400,2,Harp,50,0,10/01/2021
f993596083b69ed21f92ec83a0c2616d,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1200,299,2,Harp,75.08,40,25/01/2021
af42a15e0b26a43ae43e6475a261d2e2,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",900,450,2,Harp,50,0,10/02/2021
56f26ef1cfd279597b2001d5ec442b17,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",999,449,2,Harp,55.06,0,25/02/2021
c68d0106583311c3a49a338cd39670e5,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",499,400,2,Harp,19.84,0,10/03/2021
fa3be9ebdb6ce011db57c8401830bba3,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1200,199,2,Harp,83.42,40,25/03/2021
1386b61113d0b044f209d56d677b3ca5,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1200,299,2,Harp,75.08,40,10/04/2021
85566669e7ffbdcf23dd44d8380ad971,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",899,450,2,Harp,49.94,0,25/04/2021
9e7872688807d22d9e694279b92fe2ab,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1200,199,2,Harp,83.42,40,10/05/2021
c32a351c64136100bdf070835ac61977,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",499,499,2,Harp,0,0,25/05/2021
f3a06bc77b892de6a1c8a5cb918e9975,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",599,250,2,Harp,58.26,40,10/06/2021
c1ae151cd8259625656a47645907b9be,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1200,299,2,Harp,75.08,40,25/06/2021
491efc2b129c6720bc24bd6138152f57,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1200,199,2,Harp,83.42,40,10/07/2021
05e3c95565af4f991536401bbd8efc2c,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",670,335,2,Harp,50,40,25/07/2021
1b1ef6ab9e63e7c88e18c8c15ac54d21,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",499,250,2,Harp,49.9,40,10/08/2021
0340594392798c4d135913c5727f886e,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",499,499,2,Harp,0,0,25/08/2021
af249f0f60246d5b2616313f8e44f93f,Harp Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1300,299,2,Harp,77,40,10/09/2021
66fdb97740b6d9422c08d1b18d6ebfe9,Harp Resin Bangle,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",750,375,4,Harp,50,0,10/01/2021
64dab715341a2610fca8a71e1b605724,Harp Resin Bangle,"[""Jewellery >> Bangles, Bracelets & Armlets >> Bangles""]",666,333,4,Harp,50,40,25/01/2021
cceeca5b48d180517de42267f3de54ca,Harp Yolk Metal Necklace,"[""Jewellery >> Necklaces & Chains >> Necklaces""]",1200,299,5,Harp,75.08,40,10/01/2021
c191a620bbee10cff9cc1cbeb3ef927b,Harpa Women's Floral Print Casual Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> Harpa Shirts""]",899,359,2,Regular Fit,60.07,40,10/01/2021
e8e60e832e9baaab7e5819041d36529a,Harpa Women's Floral Print Casual Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> Harpa Shirts""]",999,399,2,Regular Fit,60.06,0,25/01/2021
d03a819e4b042c2982910c3e4e5a8de3,Harpa Women's Floral Print Casual Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> Harpa Shirts""]",1099,439,2,Regular Fit,60.05,0,10/02/2021
e91b1c8a5b949389cd3f05108f200465,Harpa Women's Printed Casual Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> Harpa Shirts""]",999,399,1,Regular Fit,60.06,0,10/01/2021
