col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,retail_price,discounted_price,product_rating,discount,shipping,date
0,0,0,1,1,0,0,0,1,0,500,259,2,48.2,40,10/01/2021
0,1,0,1,0,0,1,0,0,0,500,259,3,48.2,40,10/01/2021
0,0,0,1,0,1,0,0,0,1,1499,399,5,73.38,0,10/01/2021
0,1,1,1,0,0,0,0,0,0,999,499,3,50.05,0,10/01/2021
0,1,1,1,0,0,0,0,0,0,999,499,3,50.05,0,25/01/2021
0,0,1,1,0,0,0,0,1,0,999,499,3,50.05,0,10/02/2021
1,0,1,0,0,0,0,0,0,1,2560,1279,5,50.04,0,10/01/2021
0,0,0,0,0,0,0,0,1,2,499,299,1,40.08,40,10/01/2021
0,0,0,0,1,0,0,0,1,1,1199,399,3,66.72,0,10/01/2021
0,0,0,0,1,0,0,0,1,1,1199,399,3,66.72,0,25/01/2021
0,1,0,1,1,0,0,0,0,0,1199,399,3,66.72,0,10/02/2021
0,0,2,0,0,1,0,0,0,0,999,250,1,74.97,40,10/01/2021
0,0,1,0,0,1,0,1,0,0,999,250,5,74.97,40,10/01/2021
0,1,1,0,0,1,0,0,0,0,999,250,4,74.97,40,10/01/2021
0,1,1,0,0,1,0,0,0,0,999,250,3,74.97,40,10/01/2021
0,0,1,0,0,1,1,0,0,0,999,250,1,74.97,40,10/01/2021
0,0,1,0,1,1,0,0,0,0,999,250,1,74.97,40,10/01/2021
0,0,1,0,1,1,0,0,0,0,999,250,2,74.97,40,10/01/2021
0,0,1,0,0,1,1,0,0,0,999,250,1,74.97,40,10/01/2021
0,0,1,1,0,1,0,0,0,0,999,250,2,74.97,40,10/01/2021
1,0,1,0,0,1,0,0,0,0,999,250,2,74.97,40,10/01/2021
0,0,1,0,0,1,0,0,1,0,999,250,5,74.97,40,10/01/2021
0,0,1,0,0,1,0,0,1,0,999,250,2,74.97,40,10/01/2021
0,0,1,0,1,1,0,0,0,0,999,250,4,74.97,40,10/01/2021
0,0,1,0,0,2,0,0,0,0,999,250,5,74.97,40,10/01/2021
0,0,1,0,0,1,0,1,0,0,999,250,5,74.97,40,10/01/2021
0,0,1,0,0,1,0,0,1,0,999,250,3,74.97,40,10/01/2021
1,0,1,0,0,1,0,0,0,0,999,250,5,74.97,40,10/01/2021
1,0,0,0,0,1,0,1,0,0,1999,1999,1,0.0,0,10/01/2021
1,0,0,0,1,0,0,1,0,0,1499,1499,5,0.0,0,10/01/2021
2,0,0,0,0,0,0,1,0,0,1299,1299,5,0.0,0,10/01/2021
0,1,0,1,1,0,0,0,0,0,1099,259,5,76.43,40,10/01/2021
0,1,0,1,1,0,0,0,0,0,1099,259,5,76.43,40,25/01/2021
0,0,1,0,0,0,1,1,0,0,499,499,1,0.0,0,10/01/2021
0,0,1,0,0,0,1,1,0,0,499,399,1,20.04,0,25/01/2021
0,1,1,0,1,0,0,0,0,0,899,899,1,0.0,0,10/01/2021
0,0,1,0,0,0,0,1,1,0,499,499,4,0.0,0,10/01/2021
0,0,1,0,0,0,0,1,1,0,499,499,4,0.0,0,25/01/2021
0,0,0,0,1,0,0,1,0,1,899,899,2,0.0,0,10/01/2021
0,0,0,0,1,0,0,1,0,1,1099,1099,5,0.0,0,10/01/2021
0,0,0,0,1,0,0,1,0,1,1099,1099,5,0.0,0,25/01/2021
0,0,1,0,1,0,0,1,0,0,899,899,2,0.0,0,10/02/2021
0,0,0,1,0,0,1,1,0,0,699,699,1,0.0,0,10/01/2021
0,0,0,1,0,0,1,1,0,0,699,699,1,0.0,0,25/01/2021
0,0,1,1,0,0,0,1,0,0,599,599,2,0.0,0,10/02/2021
1,0,2,0,0,0,0,0,0,0,500,300,1,40.0,40,10/01/2021
0,1,2,0,0,0,0,0,0,0,800,150,1,81.25,40,10/01/2021
0,0,1,0,0,0,1,0,1,0,950,500,2,47.37,0,10/01/2021
0,1,0,1,0,1,0,0,0,0,499,179,2,64.13,40,10/01/2021
0,0,1,0,1,0,1,0,0,0,2499,1299,4,48.02,0,10/01/2021
1,0,0,1,0,0,1,0,0,0,799,399,2,50.06,0,10/01/2021
0,0,2,0,0,0,1,0,0,0,699,250,2,64.23,40,10/01/2021
0,0,1,0,0,1,1,0,0,0,699,250,2,64.23,40,10/01/2021
0,0,1,0,0,0,2,0,0,0,699,250,3,64.23,40,10/01/2021
0,0,1,0,0,0,1,0,0,1,699,250,1,64.23,40,10/01/2021
0,0,1,0,0,0,1,0,1,0,699,250,5,64.23,40,10/01/2021
0,0,1,0,0,0,2,0,0,0,699,250,3,64.23,40,10/01/2021
0,0,1,0,0,0,1,1,0,0,699,250,5,64.23,40,10/01/2021
0,1,0,1,1,0,0,0,0,0,599,399,2,33.39,0,10/01/2021
0,0,2,0,0,0,0,0,1,0,3499,1499,1,57.16,0,10/01/2021
0,0,2,0,0,0,0,1,0,0,3499,1499,2,57.16,0,10/01/2021
1,0,2,0,0,0,0,0,0,0,3499,1499,3,57.16,0,10/01/2021
